Name,Type,Grade,Rating,Location,,,,,,,
Sangre Verde,"Rock, Sport",5.8,1.5,west virginia>the new river gorge>new river gorge proper>bubba city>Head Wall,,,,,,,
Gimp Verde,"Rock, Sport",5.8,2,west virginia>the new river gorge>new river gorge proper>bubba city>Headless Wall,,,,,,,
Assman,"Rock, Sport",5.8,1,west virginia>the new river gorge>new river gorge proper>bubba city>Sandstonia,,,,,,,
Geisha Girl,"Rock, Sport",5.8,3,west virginia>the new river gorge>new river gorge proper>bubba city>Sandstonia,,,,,,,
Mrs. Field's Follies,"Rock, Sport",5.8,3.5,west virginia>the new river gorge>new river gorge proper>bubba city>Sandstonia,,,,,,,
Totally-Clipse,"Rock, Sport",5.8,2.5,west virginia>the new river gorge>new river gorge proper>endless wall>E) Kaymoor Slabs,,,,,,,
Cock Bender,"Rock, Sport",5.8,2,west virginia>the new river gorge>summersville and gauley river>Carnifex Ferry,,,,,,,
Jeff's Bunny Hop,"Rock, Sport",5.8,2.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Narcissus Cave,,,,,,,
Sniff the Drill,"Rock, Sport",5.8,2.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Narcissus Cave,,,,,,,
Cowboy in the Dirt,"Rock, Sport",5.8,2.5,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Barking Spiders,"Rock, Sport",5.9,2.5,west virginia>bozoo>08. Iceberg Area,,,,,,,
Aloha,"Rock, Sport",5.9,2.5,west virginia>franklin gorge>main wall>Contact Zone,,,,,,,
Franklinstein,"Rock, Sport",5.9,2.5,west virginia>franklin gorge>main wall>Contact Zone,,,,,,,
No Weld,"Rock, Sport",5.9,2,west virginia>franklin gorge>main wall>Impact Zone,,,,,,,
Shipwrecked,"Rock, Sport",5.9,3,west virginia>franklin gorge>main wall>Impact Zone,,,,,,,
Wintermute,"Rock, Sport",5.9,2.5,west virginia>franklin gorge>main wall>Impact Zone,,,,,,,
Lunar Debris,"Rock, Sport",5.9,2,west virginia>franklin gorge>main wall>Parking Area Wall,,,,,,,
"Wild, Wild West","Rock, Sport",5.9,2.5,west virginia>franklin gorge>main wall>Parking Area Wall,,,,,,,
Slush,"Rock, Sport",5.9,3,west virginia>franklin gorge>Riverbend,,,,,,,
Little Purple Flowers,"Rock, Sport",5.9,3,west virginia>Reeds Creek,,,,,,,
Rain,"Rock, Sport",5.9,2.5,west virginia>Reeds Creek,,,,,,,
Shaved Scamper,"Rock, Sport",5.9,2.5,west virginia>Reeds Creek,,,,,,,
Stop the Presses,"Rock, Sport",5.9,3,west virginia>Reeds Creek,,,,,,,
Daytrippers,"Rock, Sport",5.9,2,west virginia>smoke hole canyon>Entrance Walls.,,,,,,,
"Grind, The","Rock, Sport",5.9,3,west virginia>smoke hole canyon>guide wall>Barnes' Roof,,,,,,,
Hawk,"Rock, Sport",5.9,3,west virginia>smoke hole canyon>guide wall>Ninja Wall,,,,,,,
Hummingbird,"Rock, Sport",5.9,3,west virginia>smoke hole canyon>guide wall>Ninja Wall,,,,,,,
Never Ending Story,"Rock, Sport",5.9,3,west virginia>smoke hole canyon>guide wall>Sunshine Wall (Guide Wall),,,,,,,
Nine In The Corner,"Rock, Sport",5.9,3,west virginia>smoke hole canyon>guide wall>Sunshine Wall (Guide Wall),,,,,,,
FunBoy,"Rock, Sport",5.9,2,west virginia>smoke hole canyon>guide wall>Zendo Wall,,,,,,,
Zippity Doo Dah,"Rock, Sport",5.9,2,west virginia>the new river gorge>meadow river gorge>lower meadow>Sunkist Wall,,,,,,,
Another Tigger in the Morgue,"Rock, Sport",5.9,2.5,west virginia>the new river gorge>meadow river gorge>south side crags>Area 51,,,,,,,
Saider,"Rock, Sport",5.9,2,west virginia>the new river gorge>meadow river gorge>south side crags>Area 51,,,,,,,
Scaphoid,"Rock, Sport",5.9,2.5,west virginia>the new river gorge>meadow river gorge>south side crags>Area 51,,,,,,,
Hundred Acre Wood,"Rock, Sport",5.9,2.5,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
Plumb Pudding,"Rock, Sport",5.9,2.5,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
Teeter,"Rock, Sport",5.9,2,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
Girl Boner,"Rock, Sport",5.9,2.5,west virginia>the new river gorge>meadow river gorge>upper meadow>0. Zero Buttress,,,,,,,
Pedalante,"Rock, Sport",5.9,1.5,west virginia>the new river gorge>meadow river gorge>upper meadow>0. Zero Buttress,,,,,,,
Bullocks,"Rock, Sport",5.9,2.5,west virginia>the new river gorge>meadow river gorge>upper meadow>3. Second Buttress,,,,,,,
Aquaman,"Rock, Sport",5.9,1,west virginia>the new river gorge>new river gorge proper>beauty mountain>2) Garbage Wall,,,,,,,
Batman,"Rock, Sport",5.9,1,west virginia>the new river gorge>new river gorge proper>beauty mountain>2) Garbage Wall,,,,,,,
"You Want It, You Got It","Rock, Sport",5.9,2.5,west virginia>the new river gorge>new river gorge proper>beauty mountain>3) The Brain,,,,,,,
She Rides,"Rock, Sport",5.9,0.5,west virginia>the new river gorge>new river gorge proper>bubba city>Ames Wall,,,,,,,
Hubba Bubba,"Rock, Sport",5.9,2.5,west virginia>the new river gorge>new river gorge proper>bubba city>Head Wall,,,,,,,
Pay It Forward,"Rock, Sport",5.9,2,west virginia>the new river gorge>new river gorge proper>bubba city>Sandstonia,,,,,,,
Fool Effect,"Rock, Sport",5.9,3.5,west virginia>the new river gorge>new river gorge proper>endless wall>E) Kaymoor Slabs,,,,,,,
"Upheaval, The","Rock, Sport",5.9,3,west virginia>the new river gorge>new river gorge proper>endless wall>E) Kaymoor Slabs,,,,,,,
Double Flat,"Rock, Sport",5.9,1.5,west virginia>the new river gorge>new river gorge proper>endless wall>I) Honeymooner's Area,,,,,,,
Meeting the Siskin,"Rock, Sport",5.9,2,west virginia>the new river gorge>summersville and gauley river>Lost World,,,,,,,
"Showercam, and Your Wife's the Star","Rock, Sport",5.9,2.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>DC Memorial Boulder,,,,,,,
Souled Out,"Rock, Sport",5.9,2.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Orange Oswald Wall,,,,,,,
On the Porch,"Rock, Sport",5.9,1.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>The Long Wall,,,,,,,
Ragged Reaction,"Rock, Sport",5.9,2.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>The Long Wall,,,,,,,
Lickty Split,"Rock, Sport",5.9,2.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>The Satisfaction Wall,,,,,,,
28 Weeks Later,"Rock, Sport",5.9,2,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Gimme a Clown,"Rock, Sport",5.9,3,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Straight Outta Lockmont,"Rock, Sport",5.9,3,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Whinerlamer,"Rock, Sport",5.9,2.5,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Project,"Rock, Sport",3rd,2,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Narcissus Cave,,,,,,,
Totally Tammy,"Rock, Sport",5.10-,2,west virginia>the new river gorge>new river gorge proper>kaymoor>Rico Suave Buttress,,,,,,,
Angelfire,"Rock, Sport",5.10+,3.5,west virginia>Reeds Creek,,,,,,,
New Mexican Rodeo,"Rock, Sport",5.10+,3,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
Kosmology,"Rock, Sport",5.10+,1.5,west virginia>the new river gorge>meadow river gorge>upper meadow>4. Third Buttress,,,,,,,
Back to the Known,"Rock, Sport",5.10+,2,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Chucks Route,"Rock, Sport",5.10a,2.5,west virginia>bozoo>08. Iceberg Area,,,,,,,245
Aqualung,"Rock, Sport",5.10a,3,west virginia>franklin gorge>main wall>Impact Zone,,,,,,,
"Last Laugh, The","Rock, Sport",5.10a,3,west virginia>franklin gorge>main wall>Impact Zone,,,,,,,
Trident,"Rock, Sport",5.10a,2.5,west virginia>franklin gorge>main wall>Impact Zone,,,,,,,
Odysseus,"Rock, Sport",5.10a,2,west virginia>franklin gorge>main wall>Parking Area Wall,,,,,,,
Squeal Like a Pig,"Rock, Sport",5.10a,2.5,west virginia>franklin gorge>main wall>Parking Area Wall,,,,,,,
Blowing Mud,"Rock, Sport",5.10a,1.5,west virginia>franklin gorge>Riverbend,,,,,,,
Bridge Burner,"Rock, Sport",5.10a,2.5,west virginia>Reeds Creek,,,,,,,
Dangerous Freedoms,"Rock, Sport",5.10a,2,west virginia>Reeds Creek,,,,,,,
Not a Gimmie,"Rock, Sport",5.10a,2,west virginia>Reeds Creek,,,,,,,
One page at a time,"Rock, Sport",5.10a,2.5,west virginia>Reeds Creek,,,,,,,
Reaching Conclusions,"Rock, Sport",5.10a,3.5,west virginia>Reeds Creek,,,,,,,
Sea of Tranquility,"Rock, Sport",5.10a,2.5,west virginia>Reeds Creek,,,,,,,
Still Laughing,"Rock, Sport",5.10a,3,west virginia>Reeds Creek,,,,,,,
Hippo Head,"Rock, Sport",5.10a,1,west virginia>smoke hole canyon>Long Branch Wall,,,,,,,
Institution Green,"Rock, Sport",5.10a,2,west virginia>the new river gorge>meadow river gorge>lower meadow>Sunkist Wall,,,,,,,
Campground Sluts,"Rock, Sport",5.10a,1.5,west virginia>the new river gorge>meadow river gorge>lower meadow>Tan Wall,,,,,,,
Balefire,"Rock, Sport",5.10a,1.5,west virginia>the new river gorge>meadow river gorge>south side crags>Area 51,,,,,,,
Way of the Cougared,"Rock, Sport",5.10a,2.5,west virginia>the new river gorge>meadow river gorge>south side crags>Area 51,,,,,,,
D.D.,"Rock, Sport",5.10a,2.5,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
Hope Pathology,"Rock, Sport",5.10a,2,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
Rosetta Stone,"Rock, Sport",5.10a,2.5,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
Studentessa,"Rock, Sport",5.10a,2,west virginia>the new river gorge>meadow river gorge>upper meadow>0. Zero Buttress,,,,,,,
Frog Hunt,"Rock, Sport",5.10a,2,west virginia>the new river gorge>meadow river gorge>upper meadow>3. Second Buttress,,,,,,,
King Lichen Me,"Rock, Sport",5.10a,2.5,west virginia>the new river gorge>meadow river gorge>upper meadow>4. Third Buttress,,,,,,,
"Wanderer, The","Rock, Sport",5.10a,1.5,west virginia>the new river gorge>meadow river gorge>upper meadow>4. Third Buttress,,,,,,,
Hi-C,"Rock, Sport",5.10a,1,west virginia>the new river gorge>new river gorge proper>bubba city>Bubba Buttress,,,,,,,
Mo'Verde,"Rock, Sport",5.10a,2.5,west virginia>the new river gorge>new river gorge proper>bubba city>Headless Wall,,,,,,,
Pyro Vixen,"Rock, Sport",5.10a,2,west virginia>the new river gorge>new river gorge proper>bubba city>Headless Wall,,,,,,,
"Good Book, The","Rock, Sport",5.10a,2.5,west virginia>the new river gorge>new river gorge proper>bubba city>Sandstonia,,,,,,,
Hardcore Female Rash,"Rock, Sport",5.10a,1,west virginia>the new river gorge>new river gorge proper>bubba city>Sandstonia,,,,,,,
Zeitgeist,"Rock, Sport",5.10a,2.5,west virginia>the new river gorge>new river gorge proper>bubba city>Sandstonia,,,,,,,
Cottonmouth,"Rock, Sport",5.10a,3.5,west virginia>the new river gorge>new river gorge proper>Cotton Top,,,,,,,
Terminus,"Rock, Sport",5.10a,1,west virginia>the new river gorge>new river gorge proper>endless wall>A) Fern Point,,,,,,,
With a Little Help from My Friends,"Rock, Sport",5.10a,2.5,west virginia>the new river gorge>new river gorge proper>endless wall>E) Kaymoor Slabs,,,,,,,
Skin the thief,"Rock, Sport",5.10a,2,west virginia>the new river gorge>new river gorge proper>endless wall>O) Kline Wall,,,,,,,
Rico Suave,"Rock, Sport",5.10a,3.5,west virginia>the new river gorge>new river gorge proper>kaymoor>Rico Suave Buttress,,,,,,,
Squirrelly Adventure,"Rock, Sport",5.10a,1.5,west virginia>the new river gorge>new river gorge proper>kaymoor>Seven Eleven Wall,,,,,,,
Buckle your Bible Belt,"Rock, Sport",5.10a,2.5,west virginia>the new river gorge>new river gorge proper>Minden Boulders,,,,,,,
204,"Rock, Sport",5.10a,3.5,west virginia>the new river gorge>summersville and gauley river>Long Point,,,,,,,
665,"Rock, Sport",5.10a,3,west virginia>the new river gorge>summersville and gauley river>Long Point,,,,,,,
Blood Flower,"Rock, Sport",5.10a,3,west virginia>the new river gorge>summersville and gauley river>Long Point,,,,,,,
Clown School,"Rock, Sport",5.10a,2.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Circus Wall,,,,,,,
Sudetica Verticalia,"Rock, Sport",5.10a,1.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Gun Wall,,,,,,,
Trigger Happy,"Rock, Sport",5.10a,2.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Gun Wall,,,,,,,
Locumba,"Rock, Sport",5.10a,2.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Narcissus Cave,,,,,,,
Orange Oswald,"Rock, Sport",5.10a,3,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Orange Oswald Wall,,,,,,,
"She got the Bosch, I got Drilled","Rock, Sport",5.10a,3,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Orange Oswald Wall,,,,,,,
Rocky Top Hilton,"Rock, Sport",5.10a,1.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>The Long Wall,,,,,,,
Make Way For Dyklings,"Rock, Sport",5.10a,2.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>The Satisfaction Wall,,,,,,,
T. Love,"Rock, Sport",5.10a,2,west virginia>the new river gorge>summersville and gauley river>summersville lake main>The Satisfaction Wall,,,,,,,
Two Finger Limit,"Rock, Sport",5.10a,2,west virginia>the new river gorge>summersville and gauley river>summersville lake main>The Satisfaction Wall,,,,,,,
After Forever,"Rock, Sport",5.10a,1.5,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Jowiki,"Rock, Sport",5.10a,2,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Handjob,"Rock, Sport",5.10a/b,2,west virginia>franklin gorge>main wall>Impact Zone,,,,,,,
Destroying Angel,"Rock, Sport",5.10a/b,2,west virginia>the new river gorge>meadow river gorge>upper meadow>0. Zero Buttress,,,,,,,
Fragile Ego System,"Rock, Sport",5.10a/b,2.5,west virginia>the new river gorge>new river gorge proper>fern buttress>5) Wild Seed Area,,,,,,,
Orange Express,"Rock, Sport",5.10a/b,2.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Orange Oswald Wall,,,,,,,
Latch Key Kids,"Rock, Sport",5.10a/b,3.5,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Bircham's Beach,"Rock, Sport",5.10b,3,west virginia>franklin gorge>main wall>Contact Zone,,,,,,,
Eddie's 10b Roof,"Rock, Sport",5.10b,2.5,west virginia>franklin gorge>main wall>Contact Zone,,,,,,,
Potential Energy,"Rock, Sport",5.10b,3,west virginia>franklin gorge>main wall>Contact Zone,,,,,,,
Eddie's ArÌ»te,"Rock, Sport",5.10b,2,west virginia>franklin gorge>main wall>Impact Zone,,,,,,,
Keelhauled,"Rock, Sport",5.10b,2,west virginia>franklin gorge>main wall>Impact Zone,,,,,,,
Neptune (?),"Rock, Sport",5.10b,2.5,west virginia>franklin gorge>main wall>Impact Zone,,,,,,,
Van Idle Route 1,"Rock, Sport",5.10b,2.5,west virginia>franklin gorge>main wall>Impact Zone,,,,,,,
Van Idle Route 2,"Rock, Sport",5.10b,2,west virginia>franklin gorge>main wall>Impact Zone,,,,,,,
Dig Dog Dig,"Rock, Sport",5.10b,2,west virginia>franklin gorge>Riverbend,,,,,,,
In The Roof,"Rock, Sport",5.10b,3,west virginia>smoke hole canyon>guide wall>Barnes' Roof,,,,,,,
Guide's 10b,"Rock, Sport",5.10b,3,west virginia>smoke hole canyon>guide wall>Sunshine Wall (Guide Wall),,,,,,,
In the Roof,"Rock, Sport",5.10b,3,west virginia>smoke hole canyon>guide wall>Sunshine Wall (Guide Wall),,,,,,,
Hilly Billy,"Rock, Sport",5.10b,2.5,west virginia>the new river gorge>meadow river gorge>lower meadow>Sunkist Wall,,,,,,,
Treeiage,"Rock, Sport",5.10b,2,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
Funiek's Line,"Rock, Sport",5.10b,2.5,west virginia>the new river gorge>meadow river gorge>upper meadow>0. Zero Buttress,,,,,,,
Mighty Hermaphrodite,"Rock, Sport",5.10b,2.5,west virginia>the new river gorge>meadow river gorge>upper meadow>0. Zero Buttress,,,,,,,
Happy Sexgiving,"Rock, Sport",5.10b,2,west virginia>the new river gorge>meadow river gorge>upper meadow>4. Third Buttress,,,,,,,
Minimax,"Rock, Sport",5.10b,1.5,west virginia>the new river gorge>meadow river gorge>upper meadow>4. Third Buttress,,,,,,,
Unnamed,"Rock, Sport",5.10b,1,west virginia>the new river gorge>meadow river gorge>upper meadow>4. Third Buttress,,,,,,,
Let Them Eat Pancake,"Rock, Sport",5.10b,2,west virginia>the new river gorge>new river gorge proper>bubba city>Ames Wall,,,,,,,
Little Wing,"Rock, Sport",5.10b,1.5,west virginia>the new river gorge>new river gorge proper>bubba city>Central Bubba,,,,,,,
Solitude Standing,"Rock, Sport",5.10b,2.5,west virginia>the new river gorge>new river gorge proper>bubba city>Kingfish,,,,,,,
Badass Tattoo,"Rock, Sport",5.10b,3,west virginia>the new river gorge>new river gorge proper>bubba city>Sandstonia,,,,,,,
Centennial,"Rock, Sport",5.10b,2,west virginia>the new river gorge>new river gorge proper>bubba city>Sandstonia,,,,,,,
"Decameron, The","Rock, Sport",5.10b,3.5,west virginia>the new river gorge>new river gorge proper>bubba city>Sandstonia,,,,,,,
Glass Onion,"Rock, Sport",5.10b,2.5,west virginia>the new river gorge>new river gorge proper>endless wall>H) Hellbound Area,,,,,,,
"Chameleon, The","Rock, Sport",5.10b,2,west virginia>the new river gorge>new river gorge proper>fern buttress>5) Wild Seed Area,,,,,,,
Two-Tone Arete,"Rock, Sport",5.10b,3.5,west virginia>the new river gorge>new river gorge proper>fern buttress>6) Thieves Area,,,,,,,
Boing,"Rock, Sport",5.10b,2.5,west virginia>the new river gorge>new river gorge proper>kaymoor>Butcher's Branch,,,,,,,
"Green Piece, The","Rock, Sport",5.10b,3,west virginia>the new river gorge>new river gorge proper>kaymoor>Butcher's Branch,,,,,,,
Low Voltage,"Rock, Sport",5.10b,2.5,west virginia>the new river gorge>new river gorge proper>kaymoor>Butcher's Branch,,,,,,,
Play it by Ear,"Rock, Sport",5.10b,1.5,west virginia>the new river gorge>new river gorge proper>kaymoor>Butcher's Branch,,,,,,,
Springer,"Rock, Sport",5.10b,2.5,west virginia>the new river gorge>new river gorge proper>kaymoor>Butcher's Branch,,,,,,,
Almost Heaven,"Rock, Sport",5.10b,2,west virginia>the new river gorge>new river gorge proper>kaymoor>White Wall,,,,,,,
All Ears,"Rock, Sport",5.10b,2,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Gun Wall,,,,,,,
Armed and Dangerous,"Rock, Sport",5.10b,2.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Gun Wall,,,,,,,
Scoot Your Muffin,"Rock, Sport",5.10b,2.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Orange Oswald Wall,,,,,,,
Strong Arming the Little Guy,"Rock, Sport",5.10b,3,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Orange Oswald Wall,,,,,,,
Chewy,"Rock, Sport",5.10b,2.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>The Long Wall,,,,,,,
Flight Path,"Rock, Sport",5.10b,3,west virginia>the new river gorge>summersville and gauley river>summersville lake main>The Long Wall,,,,,,,
Blimey,"Rock, Sport",5.10b,2.5,west virginia>the new river gorge>summersville and gauley river>Whippoorwill,,,,,,,
Route of All Evil,"Rock, Sport",5.10b/c,2,west virginia>franklin gorge>main wall>Parking Area Wall,,,,,,,
St. Pauli Girl,"Rock, Sport",5.10b/c,3,west virginia>the new river gorge>new river gorge proper>bubba city>Beer Wall,,,,,,,
Exoduster,"Rock, Sport",5.10b/c,2.5,west virginia>the new river gorge>new river gorge proper>endless wall>B) Party Buttress,,,,,,,
New Tricks for the Old Dog,"Rock, Sport",5.10b/c,2.5,west virginia>the new river gorge>new river gorge proper>fern buttress>8) Ritz Cracker Area,,,,,,,
Talk About It,"Rock, Sport",5.10b/c,2,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Gun Wall,,,,,,,
Voodoo Surfing,"Rock, Sport",5.10b/c,2.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Orange Oswald Wall,,,,,,,
Limehouse,"Rock, Sport",5.10c,3,west virginia>bozoo>05. Bovine Area,,,,,,,
Break the  Chain,"Rock, Sport",5.10c,2.5,west virginia>franklin gorge>main wall>Contact Zone,,,,,,,
Hello,"Rock, Sport",5.10c,3,west virginia>franklin gorge>main wall>Contact Zone,,,,,,,
Edge-U-Cate,"Rock, Sport",5.10c,3,west virginia>franklin gorge>main wall>Impact Zone,,,,,,,
Rock Your World,"Rock, Sport",5.10c,3,west virginia>franklin gorge>main wall>Impact Zone,,,,,,,
Two Blind Mice,"Rock, Sport",5.10c,2,west virginia>franklin gorge>main wall>Parking Area Wall,,,,,,,
Black Hanger,"Rock, Sport",5.10c,4,west virginia>smoke hole canyon>guide wall>Ninja Wall,,,,,,,
Guide's 10 (George's Dilemma),"Rock, Sport",5.10c,2.5,west virginia>smoke hole canyon>guide wall>Sunshine Wall (Guide Wall),,,,,,,
Winter Harvest,"Rock, Sport",5.10c,2.5,west virginia>the new river gorge>meadow river gorge>lower meadow>Moon Wall,,,,,,,
Country Love,"Rock, Sport",5.10c,2,west virginia>the new river gorge>meadow river gorge>lower meadow>Sunkist Wall,,,,,,,
Taxi Gaucho,"Rock, Sport",5.10c,2,west virginia>the new river gorge>meadow river gorge>lower meadow>Sunkist Wall,,,,,,,
Lunate,"Rock, Sport",5.10c,2.5,west virginia>the new river gorge>meadow river gorge>south side crags>Area 51,,,,,,,
"Unknown, 5.10c","Rock, Sport",5.10c,2.5,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
Not A Chance Dude,"Rock, Sport",5.10c,2.5,west virginia>the new river gorge>meadow river gorge>upper meadow>0. Zero Buttress,,,,,,,
Lady Punk,"Rock, Sport",5.10c,2.5,west virginia>the new river gorge>meadow river gorge>upper meadow>1. First Buttress,,,,,,,
"You, Watch the Clocks!","Rock, Sport",5.10c,2.5,west virginia>the new river gorge>meadow river gorge>upper meadow>1. First Buttress,,,,,,,
Ikar Lost,"Rock, Sport",5.10c,2.5,west virginia>the new river gorge>meadow river gorge>upper meadow>3. Second Buttress,,,,,,,
Rodent's Party,"Rock, Sport",5.10c,2.5,west virginia>the new river gorge>meadow river gorge>upper meadow>3. Second Buttress,,,,,,,
Alleluja,"Rock, Sport",5.10c,3,west virginia>the new river gorge>meadow river gorge>upper meadow>4. Third Buttress,,,,,,,
Forrest Dump,"Rock, Sport",5.10c,1,west virginia>the new river gorge>meadow river gorge>upper meadow>4. Third Buttress,,,,,,,
MoselstraÌÙe,"Rock, Sport",5.10c,2.5,west virginia>the new river gorge>meadow river gorge>upper meadow>4. Third Buttress,,,,,,,
Sixteenth Rung,"Rock, Sport",5.10c,1.5,west virginia>the new river gorge>new river gorge proper>beauty mountain>1) Super Mario Boulder,,,,,,,
Unnamed,"Rock, Sport",5.10c,1.5,west virginia>the new river gorge>new river gorge proper>beauty mountain>1) Super Mario Boulder,,,,,,,
Brain Tweezers,"Rock, Sport",5.10c,3,west virginia>the new river gorge>new river gorge proper>beauty mountain>3) The Brain,,,,,,,
Radial Rimmed,"Rock, Sport",5.10c,2,west virginia>the new river gorge>new river gorge proper>bubba city>Ames Wall,,,,,,,
Verde Bunyan,"Rock, Sport",5.10c,2.5,west virginia>the new river gorge>new river gorge proper>bubba city>Head Wall,,,,,,,
Ichabod Crane,"Rock, Sport",5.10c,2.5,west virginia>the new river gorge>new river gorge proper>bubba city>Headless Wall,,,,,,,
Insistent Irony,"Rock, Sport",5.10c,2,west virginia>the new river gorge>new river gorge proper>bubba city>Rainbow Ledge Area,,,,,,,
Kinesthetica,"Rock, Sport",5.10c,3.5,west virginia>the new river gorge>new river gorge proper>bubba city>Sandstonia,,,,,,,
Witches of Bangor,"Rock, Sport",5.10c,2.5,west virginia>the new river gorge>new river gorge proper>bubba city>Sandstonia,,,,,,,
One Fingered Pickpocket,"Rock, Sport",5.10c,2,west virginia>the new river gorge>new river gorge proper>endless wall>O) Kline Wall,,,,,,,
First Person,"Rock, Sport",5.10c,1.5,west virginia>the new river gorge>new river gorge proper>fern buttress>2) Monolith Wall,,,,,,,
First Steps,"Rock, Sport",5.10c,3,west virginia>the new river gorge>new river gorge proper>kaymoor>Seven Eleven Wall,,,,,,,
Unnamed,"Rock, Sport",5.10c,2.5,west virginia>the new river gorge>new river gorge proper>South Nuttall,,,,,,,
Gun Lust,"Rock, Sport",5.10c,2.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Gun Wall,,,,,,,
Baby With A Nail Gun,"Rock, Sport",5.10c,3,west virginia>the new river gorge>summersville and gauley river>summersville lake main>Orange Oswald Wall,,,,,,,
Tequila Maria,"Rock, Sport",5.10c,2.5,west virginia>the new river gorge>summersville and gauley river>summersville lake main>The Satisfaction Wall,,,,,,,
Telexpress,"Rock, Sport",5.10c/d,1,west virginia>the new river gorge>meadow river gorge>upper meadow>4. Third Buttress,,,,,,,
Decompression Sickness,"Rock, Sport",5.10d,3,west virginia>franklin gorge>main wall>Impact Zone,,,,,,,
Persephone,"Rock, Sport",5.10d,3,west virginia>franklin gorge>main wall>Impact Zone,,,,,,,
Super Amazing Sea Monkeys,"Rock, Sport",5.10d,3,west virginia>franklin gorge>main wall>Impact Zone,,,,,,,
Wish I Were a Golfer,"Rock, Sport",5.10d,2,west virginia>franklin gorge>Riverbend,,,,,,,
Apophis,"Rock, Sport",5.10d,3,west virginia>Reeds Creek,,,,,,,
Bust a Move,"Rock, Sport",5.10d,2.5,west virginia>the new river gorge>meadow river gorge>lower meadow>Moon Wall,,,,,,,
Weaver's Bottom,"Rock, Sport",5.10d,1.5,west virginia>the new river gorge>meadow river gorge>lower meadow>Sunkist Wall,,,,,,,
Accusing the Innocent,"Rock, Sport",5.10d,2.5,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
Champollion,"Rock, Sport",5.10d,3,west virginia>the new river gorge>meadow river gorge>south side crags>The Other Place,,,,,,,
Floaters,"Rock, Sport",5.10d,3.5,west virginia>the new river gorge>meadow river gorge>upper meadow>1. First Buttress,,,,,,,
Load,"Rock, Sport",5.10d,2.5,west virginia>the new river gorge>meadow river gorge>upper meadow>3. Second Buttress,,,,,,,
Madmen Rule the World,"Rock, Sport",5.10d,2.5,west virginia>the new river gorge>meadow river gorge>upper meadow>3. Second Buttress,,,,,,,
Tripwire,"Rock, Sport",5.10d,1,west virginia>the new river gorge>meadow river gorge>upper meadow>6. Cambodia,,,,,,,
Pinkney Route,"Rock, Sport",5.10d,1.5,west virginia>the new river gorge>new river gorge proper>beauty mountain>1) Super Mario Boulder,,,,,,,
Bubbaweiser,"Rock, Sport",5.10d,2.5,west virginia>the new river gorge>new river gorge proper>bubba city>Beer Wall,,,,,,,
