Name,Type,Grade,Rating,Location,,,,,,,
Shorty,Boulder,V0+,2,west virginia>coopers rock state forest>upper rock city>Tomb Raider Area,,,,,,,
Deek,Boulder,V1,2.5,west virginia>Bear Haven,,,,,,,
Green Room,Boulder,V1,1.5,west virginia>Bear Rock Lake Bouldering (Wheeling),,,,,,,
Welcome to Bear Rock Lake,Boulder,V1,2,west virginia>Bear Rock Lake Bouldering (Wheeling),,,,,,,
C: Side Line,Boulder,V1,1,west virginia>bozoo>bozoo bouldering>downstream boulderfield>A: Air Jordy Boulder,,,,,,,
G: The Layup,Boulder,V1,2,west virginia>bozoo>bozoo bouldering>downstream boulderfield>A: Air Jordy Boulder,,,,,,,
Five O'Clock Shadow,Boulder,V1,2,west virginia>bozoo>bozoo bouldering>downstream boulderfield>H: Flow Boulder,,,,,,,
Warm Up L Center,Boulder,V1,3,west virginia>bozoo>bozoo bouldering>downstream boulderfield>talus area>C5: Warm Up Boulder,,,,,,,
Warm-up R Center,Boulder,V1,1,west virginia>bozoo>bozoo bouldering>downstream boulderfield>talus area>C5: Warm Up Boulder,,,,,,,
Right Chub,Boulder,V1,1,"west virginia>bozoo>bozoo bouldering>downstream boulderfield>talus area>C6: Upper Tier, Hermit's Cave",,,,,,,
"Hershey Kiss, The",Boulder,V1,2.5,west virginia>bozoo>bozoo bouldering>main area bouldering>B. Hershey Boulder,,,,,,,
Thoraxic Stand,Boulder,V1,3.5,west virginia>bozoo>bozoo bouldering>main area bouldering>E. The Blok,,,,,,,
A. Slab,Boulder,V1,2,west virginia>bozoo>bozoo bouldering>main area bouldering>H. EDucator Boulder,,,,,,,
Million Miles,Boulder,V1,2,west virginia>bozoo>bozoo bouldering>powerline boulders>powerline proper>Million Miles Boulder,,,,,,,
E3,Boulder,V1,1.5,west virginia>bozoo>bozoo bouldering>powerline boulders>sloper project area>Sloper Proj Boulder,,,,,,,
Left Cell,Boulder,V1,2,west virginia>bozoo>bozoo bouldering>project area>Alcatraz/Fontainzoo/Mattehorn,,,,,,,
Mattehorn,Boulder,V1,1,west virginia>bozoo>bozoo bouldering>project area>Alcatraz/Fontainzoo/Mattehorn,,,,,,,
Unknown - Squeeze problem,Boulder,V1,2,west virginia>bozoo>bozoo bouldering>project area>Ape Rage Boulder,,,,,,,
Evergreen,Boulder,V1,2.5,west virginia>coopers rock state forest>roadside>Green Block,,,,,,,
Cheese Grader,Boulder,V1,1,west virginia>coopers rock state forest>roadside>Tendon Repair Kit Area,,,,,,,
Apples,Boulder,V1,2,west virginia>coopers rock state forest>roadside>Warm-Up Boulders,,,,,,,
Teen Spirit,Boulder,V1,2,west virginia>coopers rock state forest>roadside>Warm-Up Boulders,,,,,,,
Coopernicus,Boulder,V1,3,west virginia>coopers rock state forest>tilted tree>Coral Area,,,,,,,
Butter Face,Boulder,V1,3.5,west virginia>coopers rock state forest>tilted tree>Fiddle Area,,,,,,,
FFF (Fiddle Finger of Fate),Boulder,V1,3,west virginia>coopers rock state forest>tilted tree>Fiddle Area,,,,,,,
Crack of Earthly Delights,Boulder,V1,3.5,west virginia>coopers rock state forest>tilted tree>First Wall,,,,,,,
Soul Flinger,Boulder,V1,2,west virginia>coopers rock state forest>tilted tree>Moby's Dick Area,,,,,,,
Black Scar,Boulder,V1,3,west virginia>coopers rock state forest>tilted tree>Tilted Tree Corridor,,,,,,,
Practitioner,Boulder,V1,2.5,west virginia>coopers rock state forest>tilted tree>Tilted Tree Corridor,,,,,,,
Tilted Tree Arete (Left),Boulder,V1,2,west virginia>coopers rock state forest>tilted tree>Tilted Tree Corridor,,,,,,,
Knife Fink,Boulder,V1,3.5,west virginia>coopers rock state forest>upper rock city>Knife Fink Area,,,,,,,
Ghost,Boulder,V1,2,west virginia>coopers rock state forest>upper rock city>Tomb Raider Area,,,,,,,
Ghoul,Boulder,V1,1,west virginia>coopers rock state forest>upper rock city>Tomb Raider Area,,,,,,,
"One, The",Boulder,V1,2,west virginia>Kanawha State Park,,,,,,,
Friends of Coal,Boulder,V1,3,west virginia>the new river gorge>meadow river gorge>meadow top boulders>Friends of Coal Boulder,,,,,,,
Wonder Boy,Boulder,V1,1,west virginia>the new river gorge>new river gorge proper>hawks nest dam>cotton bottom>Bat Cave Boulder,,,,,,,
420,Boulder,V1,2,west virginia>the new river gorge>new river gorge proper>hawks nest dam>cotton bottom>Highball Boulder,,,,,,,
Low Ballin',Boulder,V1,2,west virginia>the new river gorge>new river gorge proper>hawks nest dam>cotton bottom>Malone Boulder,,,,,,,
Watch Your Back,Boulder,V1,2.5,west virginia>the new river gorge>new river gorge proper>hawks nest dam>hawks nest proper>Watch Your Back Boulder,,,,,,,
Upper Arete,Boulder,V1-,2,west virginia>bozoo>bozoo bouldering>stoned hinge>Nose Candy Boulder,,,,,,,
Walk Off,Boulder,V1-,1,west virginia>coopers rock state forest>tilted tree>Tilted Tree Corridor,,,,,,,
Shermans March,Boulder,V1-,1,west virginia>the new river gorge>new river gorge proper>endless wall>S) BBQ Babies Cave,,,,,,,
"real McCoy, The",Boulder,V1-2,2,west virginia>alma crag>Alma West,,,,,,,
Bear Haven Hanger,Boulder,V1-2,3,west virginia>Bear Haven,,,,,,,
Hermit Cave Slab,Boulder,V1-2,2.5,west virginia>bozoo>bozoo bouldering>downstream boulderfield>talus area>C2: 211 Spot Boulder,,,,,,,
G2,Boulder,V1-2,1,west virginia>bozoo>bozoo bouldering>entryway boulders>roadside>Boulder G,,,,,,,
Right bench,Boulder,V1-2,2,west virginia>bozoo>bozoo bouldering>main area bouldering>C1. The Bench,,,,,,,
Firepole Boulder Warm-Up,Boulder,V1-2,2,west virginia>bozoo>bozoo bouldering>main area bouldering>F. Firepole Boulder,,,,,,,
Ant Hill,Boulder,V1+,1.5,west virginia>Bear Haven,,,,,,,
A2,Boulder,V1+,3,west virginia>bozoo>bozoo bouldering>flinger area>Fly Swatter Boulder,,,,,,,
Up and Over,Boulder,V1+,2,west virginia>coopers rock state forest>haystack area>Motorcycle Rocks,,,,,,,
Green Block Arete,Boulder,V1+,2.5,west virginia>coopers rock state forest>roadside>Green Block,,,,,,,
Green Project,Boulder,V1+,1,west virginia>coopers rock state forest>roadside>Green Block,,,,,,,
Jaws,Boulder,V1+,2,west virginia>coopers rock state forest>roadside>Tendon Repair Kit Area,,,,,,,
Sloper Proj,Boulder,V10,1,west virginia>bozoo>bozoo bouldering>powerline boulders>sloper project area>Sloper Proj Boulder,,,,,,,
"Project (A.K.A. Sitting Bull), The",Boulder,V10,1,west virginia>bozoo>bozoo bouldering>project area>The Project Boulder,,,,,,,
Bubba Hotep,Boulder,V10,3,west virginia>the new river gorge>new river gorge proper>beauty mountain>short creek bouldering>Ali Bubba Cave,,,,,,,
Octagon Control,Boulder,V10,4,west virginia>the new river gorge>new river gorge proper>Fayette Station Boulders,,,,,,,
F-5,Boulder,V10,4,west virginia>the new river gorge>new river gorge proper>Fern Creek Boulders,,,,,,,
TKO,Boulder,V10,3,"west virginia>the new river gorge>new river gorge proper>sunshine boulders>1,2 Punch Boulder",,,,,,,
Mega Mite,Boulder,V11,3,west virginia>the new river gorge>new river gorge proper>hawks nest dam>cotton bottom>Bat Cave Boulder,,,,,,,
Sky High Project,Boulder,V12,1,west virginia>bozoo>bozoo bouldering>main area bouldering>I: Sky High Boulder,,,,,,,
Hello Nasty,Boulder,V2,1,west virginia>Bear Rock Lake Bouldering (Wheeling),,,,,,,
Pocket Pool,Boulder,V2,2.5,west virginia>Bear Rock Lake Bouldering (Wheeling),,,,,,,
Screech,Boulder,V2,1.5,west virginia>Bear Rock Lake Bouldering (Wheeling),,,,,,,
F: Balance Arete,Boulder,V2,3.5,west virginia>bozoo>bozoo bouldering>downstream boulderfield>A: Air Jordy Boulder,,,,,,,
J: Bulls,Boulder,V2,2,west virginia>bozoo>bozoo bouldering>downstream boulderfield>A: Air Jordy Boulder,,,,,,,
Mystery Hole,Boulder,V2,2,west virginia>bozoo>bozoo bouldering>downstream boulderfield>B: Mystery Boulder,,,,,,,
"Warm-up, The",Boulder,V2,1,west virginia>bozoo>bozoo bouldering>downstream boulderfield>E: Multi-Dihedral Boulder,,,,,,,
Unknown,Boulder,V2,1,west virginia>bozoo>bozoo bouldering>downstream boulderfield>H: Flow Boulder,,,,,,,
Warm up R,Boulder,V2,2,west virginia>bozoo>bozoo bouldering>downstream boulderfield>talus area>C5: Warm Up Boulder,,,,,,,
Lone Pine,Boulder,V2,2,west virginia>bozoo>bozoo bouldering>entryway boulders>roadside>Lone Pine,,,,,,,
